Sno_of_polling_station,KUMAR NAVNEET HIMANSHU,Nilam Devi,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Ajit kumar,Arvind Kumar Sharma,KRISHNA MURARI KUMAR,PANCHANAND SINGH,RAUSHAN KUMAR,VIKASH KUMAR ARYA,SANJAY KESARI,SANTOSH KUMAR,SURYODAY PASWAN,SONELAL KORA,AMARJIT PATEL,UCHIT KUMAR,DINA SAW,PRANAY KUMAR,MAHESH RAM,DR.RAJESH KUMAR RATNAKAR,Total of Valid Votes,No. of rejected votes,NOTA,Total,No.of tendered votes,Margin
244,2,80,369,4,5,2,0,0,4,3,0,3,3,6,1,9,0,3,1,495,0,2,497,0,289
245,4,105,403,8,3,4,4,2,9,11,2,3,6,14,4,11,3,6,18,620,0,7,627,0,298
246,0,365,170,1,3,1,2,1,2,1,4,1,2,3,11,4,1,9,0,581,0,3,584,0,-195
247,4,153,302,5,7,0,2,2,6,8,1,0,1,8,7,7,4,2,6,525,0,7,532,0,149
248,5,73,217,3,7,5,2,0,6,6,0,0,5,6,4,2,2,1,2,346,0,1,347,0,144
249,10,98,221,0,4,3,1,1,0,7,4,2,4,11,0,10,0,0,2,378,0,2,380,0,123
250,1,57,315,0,3,1,1,1,3,4,0,1,1,11,5,7,0,0,2,413,0,6,419,0,258
251,6,77,252,6,9,5,4,3,3,9,3,3,7,5,5,12,4,5,8,426,0,9,435,0,175
252,3,83,423,3,12,3,3,3,4,9,2,3,9,18,14,25,3,5,10,635,0,9,644,0,340
253,4,61,293,8,6,3,0,0,2,8,1,0,7,13,4,6,0,0,3,419,0,3,422,0,232
254,1,182,216,5,3,0,1,0,2,7,2,0,6,13,2,10,2,3,0,455,0,2,457,0,34
255,9,321,229,6,3,2,2,0,2,2,1,1,5,4,2,3,2,9,6,609,0,3,612,0,-92
256,3,466,213,3,5,0,1,1,2,2,3,1,2,6,4,4,3,9,6,734,0,4,738,0,-253
257,4,240,286,2,12,6,3,2,9,12,2,7,3,23,10,14,2,1,7,645,0,6,651,0,46
258,8,199,301,7,14,3,3,5,4,8,3,7,9,12,12,28,2,4,3,632,0,4,636,0,102
259,2,235,75,4,3,4,4,1,9,1,6,4,7,13,17,18,1,8,4,416,0,4,420,0,-160
260,10,235,331,3,11,9,2,0,5,3,0,4,12,11,12,20,5,3,2,678,0,8,686,0,96
261,4,8,461,4,2,1,0,3,1,7,0,0,3,16,3,10,2,2,13,540,0,2,542,0,453
262,3,8,348,5,4,0,0,1,3,2,2,4,5,30,7,13,7,6,21,469,0,15,484,0,340
263,5,25,367,7,5,0,0,0,3,9,7,3,5,17,3,12,5,1,2,476,0,1,477,0,342
264,4,44,279,6,4,3,2,1,1,3,2,3,6,17,6,7,4,8,6,406,0,8,414,0,235
265,10,135,318,10,11,6,3,3,4,15,6,10,16,30,19,22,3,6,7,634,0,8,642,0,183
266,4,195,194,4,5,4,2,1,1,4,12,9,15,16,18,31,6,7,9,537,0,13,550,0,-1
267,10,255,249,5,11,9,3,4,1,11,6,6,6,9,16,20,5,6,0,632,0,3,635,0,-6
