Sno_of_polling_station,KUMAR NAVNEET HIMANSHU,Nilam Devi,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Ajit kumar,Arvind Kumar Sharma,KRISHNA MURARI KUMAR,PANCHANAND SINGH,RAUSHAN KUMAR,VIKASH KUMAR ARYA,SANJAY KESARI,SANTOSH KUMAR,SURYODAY PASWAN,SONELAL KORA,AMARJIT PATEL,UCHIT KUMAR,DINA SAW,PRANAY KUMAR,MAHESH RAM,DR.RAJESH KUMAR RATNAKAR,Total of Valid Votes,No. of rejected votes,NOTA,Total,No.of tendered votes,Margin
81,0,596,27,1,0,0,0,1,0,0,0,0,0,2,3,0,0,5,1,636,0,1,637,0,-569
82,8,125,316,6,2,0,2,1,1,2,1,0,2,0,0,3,2,0,5,476,0,5,481,0,191
83,4,383,41,2,3,0,0,0,0,1,1,1,0,1,4,5,0,1,0,447,0,0,447,0,-342
84,8,235,293,4,2,1,3,2,0,4,2,1,2,8,6,7,2,2,7,589,0,6,595,0,58
85,1,338,99,1,3,1,0,0,2,1,3,1,1,3,4,15,3,6,3,485,0,7,492,0,-239
86,1,399,156,3,0,1,3,1,0,2,1,3,2,3,4,3,1,1,1,585,0,2,587,0,-243
87,0,435,57,1,1,0,0,1,0,0,2,0,0,2,3,2,0,2,0,506,0,1,507,0,-378
88,1,336,82,0,0,0,1,0,0,2,0,0,3,1,0,4,0,2,0,432,0,2,434,0,-254
89,2,74,315,4,2,2,2,0,3,4,1,1,2,21,5,3,3,2,4,450,0,2,452,0,241
90,3,157,201,3,2,1,0,1,0,1,1,1,1,3,3,1,0,2,4,385,0,1,386,0,44
91,1,389,38,0,0,0,1,0,2,1,0,0,1,0,1,2,0,0,0,436,0,3,439,0,-351
92,1,182,347,1,2,1,1,0,5,3,1,0,3,6,1,8,2,2,5,571,0,3,574,0,165
93,2,298,97,1,1,0,0,0,0,5,0,0,0,4,1,5,0,4,2,420,0,0,420,0,-201
94,0,346,271,0,2,0,1,0,0,1,1,1,2,8,5,1,0,2,2,643,0,0,643,0,-75
95,2,369,51,1,0,0,1,0,0,0,0,0,0,1,1,0,2,4,1,433,0,2,435,0,-318
96,0,275,123,1,1,0,2,0,1,2,0,1,0,2,0,0,0,2,3,413,0,2,415,0,-152
97,0,181,292,3,1,0,1,0,1,2,0,0,2,4,0,3,1,3,5,499,0,5,504,0,111
98,2,142,318,3,1,2,1,0,3,3,0,0,2,2,0,2,0,2,12,495,0,3,498,0,176
99,4,77,637,6,5,2,3,0,0,7,0,1,2,14,3,6,0,2,3,772,0,3,775,0,560
100,6,76,318,4,2,0,3,1,1,8,2,1,3,6,5,12,1,3,5,457,0,2,459,0,242
101,6,73,343,4,2,1,2,2,3,4,4,3,1,10,4,5,0,4,4,475,0,4,479,0,270
102,0,163,310,6,7,0,0,2,2,0,0,1,1,2,2,3,4,3,9,515,0,6,521,0,147
103,1,27,212,1,2,1,1,0,2,2,0,1,1,2,2,2,1,1,3,262,0,0,262,0,185
104,0,62,575,4,2,2,1,1,1,6,1,0,1,0,3,3,2,0,4,668,0,2,670,0,513
105,1,194,451,3,7,0,1,0,2,2,1,0,0,3,4,0,0,0,1,670,0,2,672,0,257
106,1,116,511,5,2,1,0,0,0,4,1,0,0,1,2,1,1,1,4,651,0,8,659,0,395
107,2,161,355,3,1,2,1,0,0,2,0,0,0,2,2,5,1,1,9,547,0,10,557,0,194
108,0,134,445,1,1,1,0,1,0,4,1,0,1,2,1,1,0,0,0,593,0,3,596,0,311
109,2,505,164,1,2,1,0,0,0,2,1,2,2,1,10,1,5,9,7,715,0,5,720,0,-341
110,0,653,4,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,662,0,0,662,0,-649
111,3,442,245,1,1,0,2,0,0,5,0,0,0,1,4,2,2,8,3,719,0,2,721,0,-197
112,5,49,544,7,10,2,2,2,4,2,3,2,4,8,3,8,0,2,5,662,0,5,667,0,495
113,3,122,582,1,2,2,0,1,1,7,0,0,2,9,3,1,0,1,2,739,0,2,741,0,460
114,3,194,169,2,0,0,0,0,1,2,0,2,0,1,2,3,0,1,0,380,0,1,381,0,-25
115,1,127,212,1,2,1,0,1,0,3,0,1,0,0,2,6,3,2,3,365,0,2,367,0,85
116,1,158,262,1,1,0,0,1,0,8,0,0,0,4,1,2,0,3,3,445,0,0,445,0,104
117,1,177,177,1,1,3,1,0,0,0,0,0,0,1,1,2,1,2,1,369,0,3,372,0,0
118,3,115,346,6,6,3,3,3,4,8,5,3,4,11,5,13,0,0,6,544,0,3,547,0,231
119,4,149,367,5,6,2,1,1,0,5,5,2,7,14,5,6,0,1,6,586,0,5,591,0,218
120,5,47,521,4,7,1,0,1,1,5,1,1,2,12,2,2,1,3,12,628,0,8,636,0,474
121,3,393,373,4,3,1,1,1,0,6,1,0,1,9,12,8,3,5,5,829,0,5,834,0,-20
122,9,317,460,12,9,4,2,2,3,6,4,4,3,12,17,15,1,5,6,891,0,7,898,0,143
123,2,157,370,8,4,0,1,0,0,4,1,3,3,4,2,3,4,2,4,572,0,3,575,0,213
124,2,143,386,4,9,3,1,1,3,1,5,3,4,10,2,5,4,2,1,589,0,1,590,0,243
125,5,86,274,3,3,0,0,0,1,3,0,0,1,3,0,1,1,0,1,382,0,3,385,0,188
126,0,67,251,3,1,1,2,0,0,1,1,0,0,3,1,0,2,0,2,335,0,3,338,0,184
127,1,50,274,2,2,0,2,1,2,2,0,1,3,5,3,0,1,0,1,350,0,5,355,0,224
128,4,54,214,0,9,0,0,0,1,2,0,1,0,3,1,1,1,0,0,291,0,2,293,0,160
129,1,79,240,3,4,1,0,0,1,3,0,0,1,2,1,4,0,0,0,340,0,4,344,0,161
130,7,118,211,1,5,0,1,1,1,6,0,0,1,1,2,5,0,4,2,366,0,1,367,0,93
131,2,190,241,2,4,0,0,0,2,4,2,0,2,3,0,4,1,2,2,461,0,1,462,0,51
132,5,256,313,7,5,3,1,0,1,5,1,2,1,7,5,6,1,6,1,626,0,1,627,0,57
133,0,347,50,2,2,1,1,0,0,1,1,1,0,0,7,2,0,0,0,415,0,1,416,0,-297
134,3,243,99,1,1,1,0,1,2,0,0,0,0,3,4,4,1,2,1,366,0,2,368,0,-144
135,7,69,536,4,8,0,0,3,2,8,2,0,3,13,1,8,2,1,4,671,0,4,675,0,467
136,4,21,409,1,4,1,1,1,1,2,2,1,3,5,2,2,1,0,4,465,0,1,466,0,388
137,2,101,491,8,5,1,2,0,2,5,1,0,2,2,1,2,1,0,10,636,0,7,643,0,390
138,2,78,373,3,5,0,0,1,0,3,1,0,1,1,1,1,0,2,6,478,0,2,480,0,295
139,4,77,461,3,2,1,2,2,1,2,0,1,2,3,1,0,1,1,1,565,0,4,569,0,384
140,2,92,410,5,7,3,2,3,1,4,2,1,3,9,2,1,2,0,1,550,0,6,556,0,318
141,5,97,403,9,6,1,0,0,2,5,1,0,6,7,2,3,0,0,5,552,0,2,554,0,306
142,3,386,184,4,3,1,1,1,0,6,3,2,1,10,17,5,2,4,3,636,0,1,637,0,-202
143,4,26,417,3,4,0,3,1,1,1,0,2,5,6,2,7,0,2,3,487,0,5,492,0,391
144,0,41,365,4,5,1,0,1,3,2,0,0,5,7,1,7,0,3,8,453,0,4,457,0,324
145,5,78,320,2,3,1,1,2,0,4,0,2,2,8,4,5,1,1,4,443,0,5,448,0,242
146,0,59,349,4,0,0,1,0,0,4,0,0,0,3,0,0,0,1,4,425,0,2,427,0,290
147,4,47,450,5,10,1,3,1,3,6,4,2,10,22,4,4,14,8,31,629,0,16,645,0,403
148,2,23,382,6,1,0,0,1,1,3,3,1,1,2,0,3,0,0,3,432,0,1,433,0,359
149,2,13,412,4,6,2,1,1,3,1,2,1,2,8,2,15,0,0,4,479,0,2,481,0,399
150,1,29,526,9,5,2,1,2,3,15,4,2,13,27,5,15,1,1,5,666,0,5,671,0,497
151,3,103,454,7,13,3,10,3,4,17,11,8,13,34,17,18,2,2,8,730,0,7,737,0,351
152,0,53,452,8,2,0,0,2,1,2,0,1,0,8,0,2,1,2,6,540,0,1,541,0,399
153,1,45,316,0,1,1,0,2,3,4,1,4,4,11,3,4,4,3,9,416,0,5,421,0,271
154,1,80,447,4,4,0,0,0,0,2,0,1,4,5,2,7,15,13,28,613,0,22,635,0,367
155,1,48,487,5,2,2,2,1,0,3,0,0,1,11,3,4,0,1,2,573,0,1,574,0,439
156,6,344,81,1,1,1,0,0,0,2,1,0,3,5,18,2,0,14,1,480,0,2,482,0,-263
157,3,240,207,3,1,1,0,0,0,0,0,0,1,4,1,3,4,2,4,474,0,3,477,0,-33
158,6,380,74,2,2,1,1,0,1,1,1,1,1,3,10,3,0,4,0,491,0,1,492,0,-306
159,2,254,262,2,4,1,1,0,0,2,0,0,2,7,7,2,2,1,6,555,0,4,559,0,8
160,1,331,65,2,1,0,0,1,0,2,1,0,0,7,11,1,0,5,0,428,0,2,430,0,-266
161,12,593,72,3,1,0,2,0,1,1,0,0,0,4,23,5,8,12,2,739,0,5,744,0,-521
162,9,359,346,5,6,3,1,0,3,4,1,0,3,9,10,8,2,6,23,798,0,11,809,0,-13
163,6,320,39,0,1,0,0,0,1,1,0,0,0,0,13,3,2,8,2,396,0,0,396,0,-281
164,1,34,480,3,6,0,2,0,0,4,1,1,3,10,3,3,1,0,6,558,0,1,559,0,446
165,0,9,469,5,1,0,0,0,1,2,1,1,1,3,1,4,1,1,10,510,0,1,511,0,460
166,0,6,384,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,2,398,0,2,400,0,378
167,1,25,420,3,3,0,0,0,1,1,0,1,0,5,0,2,0,1,4,467,0,1,468,0,395
168,3,409,94,1,1,0,0,0,0,1,1,0,0,1,5,0,1,4,3,524,0,2,526,0,-315
169,3,536,45,0,0,0,0,0,0,1,2,1,1,0,3,4,0,5,1,602,0,0,602,0,-491
170,5,379,190,5,1,3,1,1,1,2,1,4,4,12,8,7,0,6,4,634,0,3,637,0,-189
171,3,167,163,4,7,2,2,2,0,4,1,0,2,4,4,5,1,3,7,381,0,4,385,0,-4
172,2,296,98,0,2,0,0,0,0,0,1,4,3,2,2,1,2,0,2,415,0,1,416,0,-198
173,5,129,252,7,2,0,1,0,0,0,0,0,0,3,0,0,1,1,1,402,0,0,402,0,123
174,0,387,85,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,478,0,0,478,0,-302
175,3,565,26,0,0,0,1,0,0,1,0,0,1,2,11,13,2,7,1,633,0,5,638,0,-539
176,17,738,57,1,0,1,0,1,2,1,0,1,2,3,16,8,4,1,0,853,0,4,857,0,-681
177,0,446,52,0,2,1,0,0,0,0,0,0,0,0,7,7,1,1,0,517,0,0,517,0,-394
178,0,382,25,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,3,418,0,1,419,0,-357
179,2,398,8,0,0,1,0,0,1,1,1,0,1,1,3,8,1,3,1,430,0,0,430,0,-390
180,0,190,341,4,3,1,1,0,0,5,1,2,0,10,5,2,3,0,3,571,0,5,576,0,151
181,0,20,761,5,1,0,2,0,0,2,2,0,3,4,1,2,0,1,1,805,0,1,806,0,741
182,5,28,641,10,15,2,2,6,2,10,4,4,12,9,4,29,1,3,25,812,0,9,821,0,613
183,2,13,472,5,0,1,2,1,3,2,0,1,2,8,1,9,1,3,17,543,0,5,548,0,459
184,3,54,454,5,6,0,2,2,3,5,1,3,2,13,3,4,0,1,5,566,0,7,573,0,400
185,1,91,207,2,3,2,1,1,2,6,1,3,3,10,5,4,3,3,3,351,0,11,362,0,116
186,3,431,78,3,2,0,1,2,1,3,1,1,0,6,7,7,0,3,1,550,0,0,550,0,-353
187,8,269,123,0,1,1,2,2,0,2,1,1,1,3,10,11,1,5,2,443,0,4,447,0,-146
188,4,502,50,1,3,1,0,1,1,2,2,1,0,0,5,3,1,1,1,579,0,0,579,0,-452
